NAME                              VERSION           TYPE                   
@colors/colors                    1.6.0             npm                     
@dabh/diagnostics                 2.0.3             npm                     
@gar/promisify                    1.1.3             npm                     
@hackmd/diff-match-patch          1.2.0             npm                     
@hedgedoc/meta-marked             14.1.0            npm                     
@isaacs/cliui                     8.0.2             npm                     
@isaacs/fs-minipass               4.0.1             npm                     
@messageformat/core               3.4.0             npm                     
@messageformat/date-skeleton      1.1.0             npm                     
@messageformat/number-skeleton    1.2.0             npm                     
@messageformat/parser             5.1.1             npm                     
@messageformat/runtime            3.0.1             npm                     
@node-saml/node-saml              5.0.1             npm                     
@node-saml/passport-saml          5.0.1             npm                     
@npmcli/agent                     3.0.0             npm                     
@npmcli/fs                        1.1.1             npm                     
@npmcli/fs                        4.0.0             npm                     
@npmcli/move-file                 1.1.2             npm                     
@opentelemetry/api                1.9.0             npm                     
@passport-next/passport-openid    1.0.0             npm                     
@passport-next/passport-strategy  1.1.0             npm                     
@pkgjs/parseargs                  0.11.0            npm                     
@tokenizer/inflate                0.2.7             npm                     
@tokenizer/token                  0.3.0             npm                     
@tootallnate/once                 1.1.2             npm                     
@types/body-parser                1.19.5            npm                     
@types/connect                    3.4.38            npm                     
@types/debug                      4.1.12            npm                     
@types/express                    4.17.21           npm                     
@types/express                    5.0.1             npm                     
@types/express-serve-static-core  4.19.6            npm                     
@types/express-serve-static-core  5.0.6             npm                     
@types/geojson                    7946.0.16         npm                     
@types/glob                       7.2.0             npm                     
@types/http-errors                2.0.4             npm                     
@types/ldapjs                     2.2.5             npm                     
@types/mime                       1.3.5             npm                     
@types/minimatch                  5.1.2             npm                     
@types/ms                         2.1.0             npm                     
@types/node                       22.14.0           npm                     
@types/passport                   1.0.17            npm                     
@types/passport-strategy          0.2.38            npm                     
@types/qs                         6.9.18            npm                     
@types/range-parser               1.2.7             npm                     
@types/send                       0.17.4            npm                     
@types/serve-static               1.15.7            npm                     
@types/triple-beam                1.3.5             npm                     
@types/xml-encryption             1.2.4             npm                     
@types/xml2js                     0.4.14            npm                     
@xmldom/is-dom-node               1.0.1             npm                     
@xmldom/xmldom                    0.8.10            npm                     
@zxing/text-encoding              0.9.0             npm                     
HedgeDoc                          1.10.3            npm                     
Idle.Js                           0.0.1             npm                     
abbrev                            1.1.1             npm                     
abbrev                            3.0.0             npm                     
abstract-logging                  2.0.1             npm                     
accepts                           1.3.8             npm                     
acl-libs                          2.3.2-r1          apk                     
after                             0.8.2             npm                     
agent-base                        6.0.2             npm                     
agent-base                        7.1.3             npm                     
agentkeepalive                    4.6.0             npm                     
aggregate-error                   3.1.0             npm                     
ajv                               6.12.6            npm                     
alpine-baselayout                 3.7.0-r0          apk                     
alpine-baselayout-data            3.7.0-r0          apk                     
alpine-keys                       2.5-r0            apk                     
alpine-release                    3.22.2-r0         apk                     
ansi-regex                        5.0.1             npm                     
ansi-regex                        6.1.0             npm   (+1 duplicate)    
ansi-styles                       4.3.0             npm                     
